Walk #0:
Target Distance: 50, Step Size: 2
188: (x, y) = (-8.97866, -2.62932)
189: (x, y) = (-9.37865, -3.54584)
190: (x, y) = (-9.92638, -2.70918)
191: (x, y) = (-9.84242, -1.71272)
192: (x, y) = (-10.8283, -1.54539)
193: (x, y) = (-10.9299, -0.550565)
194: (x, y) = (-9.94556, -0.726611)
195: (x, y) = (-9.87039, -1.72378)
196: (x, y) = (-10.1371, -0.759995)
197: (x, y) = (-9.48344, -0.00317281)
198: (x, y) = (-10.2657, 0.619816)
199: (x, y) = (-10.332, 1.61761)
200: (x, y) = (-10.9446, 0.82718)
201: (x, y) = (-11.2027, -0.138938)
202: (x, y) = (-11.6108, 0.773995)
203: (x, y) = (-11.8517, -0.19654)
204: (x, y) = (-12.4713, 0.588422)
205: (x, y) = (-11.7232, -0.0751898)
206: (x, y) = (-11.0696, 0.681632)
207: (x, y) = (-11.0209, 1.68045)
208: (x, y) = (-11.2361, 2.65703)
209: (x, y) = (-11.477, 1.6865)
210: (x, y) = (-11.349, 0.694723)
211: (x, y) = (-12.1881, 0.150702)
212: (x, y) = (-11.999, -0.83125)
213: (x, y) = (-12.9173, -0.435325)
214: (x, y) = (-13.8822, -0.697729)
215: (x, y) = (-14.7577, -0.214437)
216: (x, y) = (-13.7821, 0.00501732)
217: (x, y) = (-12.7897, 0.12862)
218: (x, y) = (-11.7901, 0.102099)
219: (x, y) = (-12.3378, 0.938755)
220: (x, y) = (-12.5356, 1.91899)
221: (x, y) = (-13.5355, 1.93667)
222: (x, y) = (-14.2596, 1.24697)
223: (x, y) = (-13.5796, 1.98018)
224: (x, y) = (-12.5896, 2.12133)
225: (x, y) = (-12.7351, 3.11069)
226: (x, y) = (-12.5286, 2.13224)
227: (x, y) = (-11.8884, 1.364)
228: (x, y) = (-12.7462, 1.87798)
229: (x, y) = (-11.9425, 2.47291)
230: (x, y) = (-11.5834, 3.40623)
231: (x, y) = (-10.7641, 2.83288)
232: (x, y) = (-10.6011, 3.81951)
233: (x, y) = (-11.3834, 4.4425)
234: (x, y) = (-12.3768, 4.32768)
235: (x, y) = (-12.0762, 3.37393)
236: (x, y) = (-12.2479, 2.38878)
237: (x, y) = (-12.3142, 3.38658)
238: (x, y) = (-11.3148, 3.42197)
239: (x, y) = (-10.471, 2.8854)
240: (x, y) = (-9.79096, 3.61861)
241: (x, y) = (-8.83079, 3.3392)
242: (x, y) = (-7.8333, 3.40995)
243: (x, y) = (-6.85965, 3.1819)
244: (x, y) = (-6.81983, 2.18269)
245: (x, y) = (-5.95308, 2.68143)
246: (x, y) = (-5.48142, 1.79964)
247: (x, y) = (-4.53455, 1.47805)
248: (x, y) = (-4.00922, 2.32895)
249: (x, y) = (-3.01063, 2.38204)
250: (x, y) = (-3.51318, 1.51749)
251: (x, y) = (-2.53207, 1.32404)
252: (x, y) = (-2.73852, 0.345586)
253: (x, y) = (-3.19446, -0.544424)
254: (x, y) = (-3.40091, -1.52288)
255: (x, y) = (-2.85321, -0.686208)
256: (x, y) = (-2.09354, -0.0358973)
257: (x, y) = (-1.49506, -0.837032)
258: (x, y) = (-0.777093, -0.140952)
259: (x, y) = (-1.59129, 0.439635)
260: (x, y) = (-0.992808, -0.3615)
261: (x, y) = (-1.63975, 0.401039)
262: (x, y) = (-2.46906, -0.15775)
263: (x, y) = (-1.87771, 0.648669)
264: (x, y) = (-1.67993, 1.62891)
265: (x, y) = (-1.6578, 0.629159)
266: (x, y) = (-2.59883, 0.290826)
267: (x, y) = (-2.83122, 1.26345)
268: (x, y) = (-2.7914, 0.264242)
269: (x, y) = (-2.53327, -0.701868)
270: (x, y) = (-2.94941, 0.207429)
271: (x, y) = (-3.86414, -0.196636)
272: (x, y) = (-4.44833, -1.00826)
273: (x, y) = (-5.225, -1.63817)
274: (x, y) = (-6.22249, -1.56745)
275: (x, y) = (-5.45708, -2.21098)
276: (x, y) = (-5.94424, -3.0843)
277: (x, y) = (-5.07749, -2.58556)
278: (x, y) = (-5.08188, -3.58555)
279: (x, y) = (-4.08223, -3.61207)
280: (x, y) = (-3.31682, -4.25561)
281: (x, y) = (-2.73984, -3.43885)
282: (x, y) = (-3.63581, -3.88296)
283: (x, y) = (-3.66679, -2.88344)
284: (x, y) = (-4.51999, -3.40502)
285: (x, y) = (-3.52316, -3.48456)
286: (x, y) = (-2.96073, -2.65772)
287: (x, y) = (-3.88588, -2.27811)
288: (x, y) = (-4.26958, -3.20157)
289: (x, y) = (-3.62266, -2.43901)
290: (x, y) = (-4.44195, -3.01239)
291: (x, y) = (-5.42131, -2.81027)
292: (x, y) = (-4.48027, -3.14858)
293: (x, y) = (-4.82277, -2.20906)
294: (x, y) = (-5.65701, -1.65766)
295: (x, y) = (-6.15955, -2.52221)
296: (x, y) = (-7.09444, -2.87715)
297: (x, y) = (-8.04952, -2.58081)
298: (x, y) = (-7.27284, -3.21069)
299: (x, y) = (-7.83529, -2.38387)
300: (x, y) = (-7.87508, -3.38307)
301: (x, y) = (-8.16722, -2.4267)
302: (x, y) = (-7.52705, -3.19493)
303: (x, y) = (-8.29813, -2.55819)
304: (x, y) = (-8.01447, -3.51712)
305: (x, y) = (-8.08081, -2.51932)
306: (x, y) = (-8.6359, -3.35111)
307: (x, y) = (-9.38395, -4.01475)
308: (x, y) = (-10.3773, -4.12956)
309: (x, y) = (-9.41474, -3.85863)
310: (x, y) = (-9.28675, -4.8504)
311: (x, y) = (-10.2741, -5.00902)
312: (x, y) = (-9.4974, -5.63891)
313: (x, y) = (-9.86469, -6.56902)
314: (x, y) = (-9.68429, -5.58543)
315: (x, y) = (-9.40063, -6.54435)
316: (x, y) = (-8.46573, -6.89926)
317: (x, y) = (-7.67802, -7.5153)
318: (x, y) = (-8.57399, -7.95941)
319: (x, y) = (-9.07653, -8.82396)
320: (x, y) = (-9.93433, -8.30999)
321: (x, y) = (-9.04635, -8.76986)
322: (x, y) = (-8.94477, -7.77504)
323: (x, y) = (-9.57811, -7.00116)
324: (x, y) = (-10.1623, -7.81279)
325: (x, y) = (-9.28685, -7.32947)
326: (x, y) = (-8.61334, -8.06865)
327: (x, y) = (-7.99382, -7.28367)
328: (x, y) = (-8.81311, -7.85705)
329: (x, y) = (-7.92924, -7.3893)
330: (x, y) = (-8.75855, -7.94809)
331: (x, y) = (-9.00812, -6.97974)
332: (x, y) = (-9.16235, -7.96777)
333: (x, y) = (-10.136, -8.19585)
334: (x, y) = (-11.0677, -7.83268)
335: (x, y) = (-11.0545, -6.83277)
336: (x, y) = (-10.0584, -6.74437)
337: (x, y) = (-9.15467, -7.17253)
338: (x, y) = (-8.7385, -8.08181)
339: (x, y) = (-9.48067, -7.41161)
340: (x, y) = (-9.97557, -6.54265)
341: (x, y) = (-10.9105, -6.89759)
342: (x, y) = (-11.53, -6.11263)
343: (x, y) = (-12.4411, -5.70051)
344: (x, y) = (-12.1659, -6.6619)
345: (x, y) = (-11.4859, -5.92869)
346: (x, y) = (-11.9654, -5.05112)
347: (x, y) = (-11.9875, -6.05087)
348: (x, y) = (-12.1592, -7.03602)
349: (x, y) = (-12.6994, -7.87751)
350: (x, y) = (-11.9284, -7.24075)
351: (x, y) = (-11.1353, -6.63168)
352: (x, y) = (-11.6606, -5.78079)
353: (x, y) = (-12.6518, -5.91318)
354: (x, y) = (-11.7371, -6.31721)
355: (x, y) = (-11.9952, -7.28333)
356: (x, y) = (-11.1466, -6.75422)
357: (x, y) = (-11.4133, -5.79044)
358: (x, y) = (-12.0258, -6.58087)
359: (x, y) = (-12.8744, -6.05179)
360: (x, y) = (-13.0024, -7.04356)
361: (x, y) = (-13.2088, -8.02202)
362: (x, y) = (-14.0927, -7.5543)
363: (x, y) = (-13.2536, -8.0983)
364: (x, y) = (-12.4243, -8.65706)
365: (x, y) = (-13.1954, -8.02032)
366: (x, y) = (-12.3421, -8.54188)
367: (x, y) = (-12.6512, -7.59082)
368: (x, y) = (-13.6446, -7.70564)
369: (x, y) = (-13.4036, -8.67616)
370: (x, y) = (-12.5076, -9.12025)
371: (x, y) = (-12.5827, -10.1174)
372: (x, y) = (-11.5875, -10.2146)
373: (x, y) = (-10.9338, -10.9714)
374: (x, y) = (-10.1516, -10.3484)
375: (x, y) = (-9.59646, -11.1801)
376: (x, y) = (-9.6716, -12.1773)
377: (x, y) = (-10.4197, -12.841)
378: (x, y) = (-11.3636, -12.511)
379: (x, y) = (-10.8233, -11.6695)
380: (x, y) = (-10.3517, -12.5513)
381: (x, y) = (-11.171, -13.1247)
382: (x, y) = (-10.4469, -13.8144)
383: (x, y) = (-9.55088, -14.2585)
384: (x, y) = (-10.4656, -14.6625)
385: (x, y) = (-9.48625, -14.4604)
386: (x, y) = (-8.50187, -14.6364)
387: (x, y) = (-9.50183, -14.6453)
388: (x, y) = (-9.08571, -13.736)
389: (x, y) = (-10.0142, -14.1074)
390: (x, y) = (-9.05158, -13.8365)
391: (x, y) = (-9.3606, -12.8854)
392: (x, y) = (-9.89343, -13.7316)
393: (x, y) = (-8.98973, -14.1598)
394: (x, y) = (-9.92145, -13.7966)
395: (x, y) = (-9.38859, -14.6428)
396: (x, y) = (-8.70859, -13.9096)
397: (x, y) = (-9.1487, -14.8075)
398: (x, y) = (-8.16759, -15.001)
399: (x, y) = (-7.79208, -14.0742)
400: (x, y) = (-8.60628, -13.4936)
401: (x, y) = (-9.18328, -12.6768)
402: (x, y) = (-8.84082, -11.7373)
403: (x, y) = (-8.05861, -11.1143)
404: (x, y) = (-8.26506, -12.0927)
405: (x, y) = (-9.17619, -11.6806)
406: (x, y) = (-8.20254, -11.9087)
407: (x, y) = (-9.1627, -12.1881)
408: (x, y) = (-9.9769, -11.6075)
409: (x, y) = (-10.7859, -12.1953)
410: (x, y) = (-11.7853, -12.16)
411: (x, y) = (-11.4428, -11.2204)
412: (x, y) = (-11.8265, -12.1439)
413: (x, y) = (-11.221, -11.3481)
414: (x, y) = (-10.5945, -12.1275)
415: (x, y) = (-11.4087, -11.5469)
416: (x, y) = (-12.3086, -11.1108)
417: (x, y) = (-13.2435, -11.4657)
418: (x, y) = (-13.2302, -10.4658)
419: (x, y) = (-12.6318, -11.267)
420: (x, y) = (-12.2644, -12.197)
421: (x, y) = (-11.8889, -11.2702)
422: (x, y) = (-10.9339, -10.9739)
423: (x, y) = (-10.2474, -11.701)
424: (x, y) = (-9.4877, -11.0507)
425: (x, y) = (-8.72803, -10.4004)
426: (x, y) = (-7.76543, -10.1294)
427: (x, y) = (-6.96694, -10.7314)
428: (x, y) = (-6.30662, -11.4824)
429: (x, y) = (-6.44339, -10.4918)
430: (x, y) = (-7.16749, -11.1815)
431: (x, y) = (-7.38262, -10.2049)
432: (x, y) = (-7.92295, -9.36349)
433: (x, y) = (-8.92291, -9.37234)
434: (x, y) = (-9.75222, -9.93113)
435: (x, y) = (-9.44322, -8.98007)
436: (x, y) = (-10.3956, -9.28488)
437: (x, y) = (-9.39599, -9.3114)
438: (x, y) = (-9.39156, -10.3114)
439: (x, y) = (-9.63252, -11.2819)
440: (x, y) = (-8.89037, -10.6117)
441: (x, y) = (-7.94933, -10.95)
442: (x, y) = (-8.86406, -11.3541)
443: (x, y) = (-8.44789, -12.2633)
444: (x, y) = (-7.55588, -11.8113)
445: (x, y) = (-6.56468, -11.9437)
446: (x, y) = (-7.52484, -12.2231)
447: (x, y) = (-6.75943, -12.8667)
448: (x, y) = (-6.72848, -11.8671)
449: (x, y) = (-5.84878, -12.3427)
450: (x, y) = (-6.71991, -12.8337)
451: (x, y) = (-7.67757, -13.1216)
452: (x, y) = (-6.67792, -13.1481)
453: (x, y) = (-6.86702, -14.1301)
454: (x, y) = (-7.73379, -13.6314)
455: (x, y) = (-7.4332, -14.5851)
456: (x, y) = (-8.16939, -15.2619)
457: (x, y) = (-7.75322, -16.1712)
458: (x, y) = (-6.90466, -15.6421)
459: (x, y) = (-7.89337, -15.4922)
460: (x, y) = (-8.23587, -14.5527)
461: (x, y) = (-8.6997, -13.6668)
462: (x, y) = (-9.31924, -12.8818)
463: (x, y) = (-8.36956, -12.5686)
464: (x, y) = (-7.58185, -13.1846)
465: (x, y) = (-7.3152, -12.2208)
466: (x, y) = (-8.28016, -12.4832)
467: (x, y) = (-7.39218, -12.9431)
468: (x, y) = (-8.21147, -13.5165)
469: (x, y) = (-8.84481, -12.7426)
470: (x, y) = (-9.80497, -13.0221)
471: (x, y) = (-9.0569, -13.6857)
472: (x, y) = (-8.32672, -13.0024)
473: (x, y) = (-7.60876, -12.3063)
474: (x, y) = (-8.32674, -11.6103)
475: (x, y) = (-7.97595, -12.5467)
476: (x, y) = (-7.41352, -11.7199)
477: (x, y) = (-6.44855, -11.9823)
478: (x, y) = (-5.63437, -11.4017)
479: (x, y) = (-5.62994, -12.4016)
480: (x, y) = (-5.30416, -11.4562)
481: (x, y) = (-4.50039, -10.8613)
482: (x, y) = (-4.74135, -11.8318)
483: (x, y) = (-3.89279, -11.3027)
484: (x, y) = (-3.44474, -10.4087)
485: (x, y) = (-3.18661, -11.3748)
486: (x, y) = (-4.1417, -11.0785)
487: (x, y) = (-4.84093, -11.7934)
488: (x, y) = (-4.70419, -10.8027)
489: (x, y) = (-5.68857, -10.9788)
490: (x, y) = (-4.70745, -11.1723)
491: (x, y) = (-5.6326, -10.7927)
492: (x, y) = (-5.60166, -9.79314)
493: (x, y) = (-5.42994, -10.7783)
494: (x, y) = (-5.5579, -11.7701)
495: (x, y) = (-4.79823, -11.1198)
496: (x, y) = (-3.88712, -10.7076)
497: (x, y) = (-4.86275, -10.4882)
498: (x, y) = (-5.08649, -11.4628)
499: (x, y) = (-4.09212, -11.3568)
500: (x, y) = (-3.09873, -11.4716)
501: (x, y) = (-2.26941, -12.0304)
502: (x, y) = (-1.33141, -11.6837)
503: (x, y) = (-1.15101, -10.7001)
504: (x, y) = (-0.316787, -10.1487)
505: (x, y) = (-0.929335, -10.9391)
506: (x, y) = (-0.0256301, -11.3673)
507: (x, y) = (-0.326194, -12.321)
508: (x, y) = (0.565811, -11.869)
509: (x, y) = (-0.425388, -12.0014)
510: (x, y) = (0.20108, -12.7808)
511: (x, y) = (0.276246, -13.778)
512: (x, y) = (0.923166, -13.0155)
513: (x, y) = (0.812778, -14.0093)
514: (x, y) = (0.265049, -13.1727)
515: (x, y) = (0.827478, -12.3458)
516: (x, y) = (1.59854, -11.7091)
517: (x, y) = (2.05451, -12.5991)
518: (x, y) = (3.0445, -12.7402)
519: (x, y) = (3.11081, -11.7424)
520: (x, y) = (3.89853, -12.3584)
521: (x, y) = (3.27898, -11.5734)
522: (x, y) = (3.9459, -10.8283)
523: (x, y) = (4.78975, -11.3649)
524: (x, y) = (4.81188, -12.3646)
525: (x, y) = (5.71558, -12.7928)
526: (x, y) = (6.70557, -12.6516)
527: (x, y) = (7.59758, -12.1996)
528: (x, y) = (6.6977, -11.7635)
529: (x, y) = (6.05075, -11.0009)
530: (x, y) = (7.03946, -10.8511)
531: (x, y) = (6.87647, -9.86444)
532: (x, y) = (7.34812, -10.7462)
533: (x, y) = (7.99504, -9.98367)
534: (x, y) = (7.87583, -8.9908)
535: (x, y) = (6.88057, -9.08801)
536: (x, y) = (6.41674, -8.20209)
537: (x, y) = (7.40673, -8.34318)
538: (x, y) = (6.88896, -9.1987)
539: (x, y) = (5.95724, -8.83552)
540: (x, y) = (5.8909, -7.83773)
541: (x, y) = (6.43121, -6.99626)
542: (x, y) = (6.01506, -6.08696)
543: (x, y) = (6.59204, -5.2702)
544: (x, y) = (7.17625, -6.0818)
545: (x, y) = (6.17765, -6.02875)
546: (x, y) = (6.36678, -7.0107)
547: (x, y) = (5.84901, -7.86622)
548: (x, y) = (5.80922, -8.86543)
549: (x, y) = (5.2689, -8.02397)
550: (x, y) = (5.13213, -7.03337)
551: (x, y) = (5.89754, -7.67691)
552: (x, y) = (6.20654, -6.72584)
553: (x, y) = (7.20638, -6.70814)
554: (x, y) = (7.94259, -7.38489)
555: (x, y) = (7.5753, -8.315)
556: (x, y) = (6.92836, -7.55246)
557: (x, y) = (7.70505, -8.18235)
558: (x, y) = (8.20762, -9.04688)
559: (x, y) = (8.05339, -10.0349)
560: (x, y) = (8.5172, -9.14898)
561: (x, y) = (7.54995, -8.89516)
562: (x, y) = (8.02936, -8.01757)
563: (x, y) = (8.37182, -7.07804)
564: (x, y) = (8.05442, -8.02633)
565: (x, y) = (7.40078, -8.78313)
566: (x, y) = (6.40641, -8.67714)
567: (x, y) = (5.41521, -8.80953)
568: (x, y) = (5.78253, -9.73962)
569: (x, y) = (5.84884, -8.74182)
570: (x, y) = (5.13707, -9.44423)
571: (x, y) = (6.09724, -9.72365)
572: (x, y) = (5.41721, -8.99046)
573: (x, y) = (6.11646, -9.70533)
574: (x, y) = (5.20533, -9.29321)
575: (x, y) = (6.06312, -8.77921)
576: (x, y) = (6.65447, -7.97279)
577: (x, y) = (7.60414, -7.65956)
578: (x, y) = (8.51159, -7.23939)
579: (x, y) = (7.75767, -6.58243)
580: (x, y) = (8.32742, -7.40425)
581: (x, y) = (8.74359, -8.31353)
582: (x, y) = (8.31944, -9.21912)
583: (x, y) = (7.62655, -8.49809)
584: (x, y) = (6.65709, -8.74337)
585: (x, y) = (6.33128, -7.79793)
586: (x, y) = (7.32249, -7.93028)
587: (x, y) = (7.86279, -7.08881)
588: (x, y) = (8.08656, -8.06346)
589: (x, y) = (7.11497, -7.82679)
590: (x, y) = (6.17696, -7.48017)
591: (x, y) = (7.17305, -7.39177)
592: (x, y) = (7.35345, -6.40818)
593: (x, y) = (8.12451, -5.77142)
594: (x, y) = (8.52452, -6.68793)
595: (x, y) = (8.91638, -5.7679)
596: (x, y) = (7.95377, -5.497)
597: (x, y) = (8.66557, -6.19938)
598: (x, y) = (8.79356, -7.19116)
599: (x, y) = (7.92243, -7.68221)
600: (x, y) = (7.64727, -8.6436)
601: (x, y) = (8.07145, -9.54918)
602: (x, y) = (7.16775, -9.97737)
603: (x, y) = (7.35688, -10.9593)
604: (x, y) = (6.43514, -11.3471)
605: (x, y) = (5.84377, -10.5407)
606: (x, y) = (5.14455, -11.2556)
607: (x, y) = (6.09962, -10.9593)
608: (x, y) = (5.12399, -10.7398)
609: (x, y) = (4.90885, -9.76325)
610: (x, y) = (5.39604, -10.6365)
611: (x, y) = (4.42659, -10.8818)
612: (x, y) = (4.4929, -9.88402)
613: (x, y) = (5.34145, -9.35492)
614: (x, y) = (5.60809, -8.39112)
615: (x, y) = (6.09528, -9.26442)
616: (x, y) = (6.7286, -8.49053)
617: (x, y) = (5.77891, -8.17733)
618: (x, y) = (5.03674, -7.50712)
619: (x, y) = (5.72323, -8.23426)
620: (x, y) = (5.45655, -7.27048)
621: (x, y) = (6.38169, -6.89084)
622: (x, y) = (6.41264, -5.89132)
623: (x, y) = (5.96456, -4.99732)
624: (x, y) = (6.94734, -4.81254)
625: (x, y) = (6.96947, -5.8123)
626: (x, y) = (6.57758, -4.89228)
627: (x, y) = (6.86969, -3.9359)
628: (x, y) = (7.59381, -4.62557)
629: (x, y) = (6.92033, -5.36477)
630: (x, y) = (6.78356, -4.37417)
631: (x, y) = (5.8234, -4.65362)
632: (x, y) = (5.12417, -5.36851)
633: (x, y) = (4.25304, -5.85956)
634: (x, y) = (5.24302, -5.71841)
635: (x, y) = (4.44989, -5.10937)
636: (x, y) = (3.45181, -5.17129)
637: (x, y) = (2.72161, -4.48805)
638: (x, y) = (2.49787, -5.4627)
639: (x, y) = (3.05298, -6.29447)
640: (x, y) = (2.07546, -6.50528)
641: (x, y) = (1.29879, -7.13519)
642: (x, y) = (2.035, -7.81194)
643: (x, y) = (1.54011, -6.94299)
644: (x, y) = (0.86662, -7.68219)
645: (x, y) = (1.21742, -8.61864)
646: (x, y) = (1.58474, -9.54874)
647: (x, y) = (1.72147, -8.55813)
648: (x, y) = (2.72147, -8.55813)
649: (x, y) = (3.71381, -8.43453)
650: (x, y) = (2.74435, -8.67981)
651: (x, y) = (1.91504, -9.2386)
652: (x, y) = (0.929142, -9.07127)
653: (x, y) = (1.17868, -8.10291)
654: (x, y) = (1.35908, -7.11931)
655: (x, y) = (2.31151, -7.4241)
656: (x, y) = (2.98501, -8.16328)
657: (x, y) = (2.76127, -9.13793)
658: (x, y) = (3.3668, -8.3421)
659: (x, y) = (4.19113, -7.77599)
660: (x, y) = (5.18346, -7.65239)
661: (x, y) = (4.24244, -7.99072)
662: (x, y) = (5.11788, -7.50741)
663: (x, y) = (5.47693, -6.57409)
664: (x, y) = (4.95158, -5.7232)
665: (x, y) = (4.39649, -6.55499)
666: (x, y) = (3.42086, -6.33556)
667: (x, y) = (4.07453, -7.09235)
668: (x, y) = (3.29786, -7.72226)
669: (x, y) = (4.16018, -8.22862)
670: (x, y) = (4.11152, -7.22981)
671: (x, y) = (4.73104, -6.44483)
672: (x, y) = (4.08409, -5.68229)
673: (x, y) = (3.09176, -5.55872)
674: (x, y) = (2.94626, -4.56936)
675: (x, y) = (1.95017, -4.48099)
676: (x, y) = (1.13597, -3.9004)
677: (x, y) = (1.12269, -2.90049)
678: (x, y) = (0.788558, -3.84302)
679: (x, y) = (0.226104, -3.01619)
680: (x, y) = (1.20722, -3.20963)
681: (x, y) = (0.221314, -3.04231)
682: (x, y) = (0.783743, -2.21546)
683: (x, y) = (-0.11995, -2.64364)
684: (x, y) = (0.811762, -2.28044)
685: (x, y) = (1.80176, -2.42153)
686: (x, y) = (1.08377, -1.72547)
687: (x, y) = (0.195805, -2.18538)
688: (x, y) = (0.728663, -3.03158)
689: (x, y) = (1.51088, -2.40857)
690: (x, y) = (2.1304, -1.62359)
691: (x, y) = (1.38234, -2.28722)
692: (x, y) = (0.658241, -2.97692)
693: (x, y) = (1.0501, -2.0569)
694: (x, y) = (2.04446, -1.95088)
695: (x, y) = (2.51611, -2.83266)
696: (x, y) = (1.88967, -3.61213)
697: (x, y) = (2.11344, -4.58677)
698: (x, y) = (2.48895, -3.65995)
699: (x, y) = (1.8764, -4.45039)
700: (x, y) = (1.29222, -5.26201)
701: (x, y) = (2.09599, -4.66707)
702: (x, y) = (1.67985, -3.75778)
703: (x, y) = (1.10284, -2.94103)
704: (x, y) = (1.71542, -3.73145)
705: (x, y) = (2.50853, -3.12238)
706: (x, y) = (1.54593, -2.85147)
707: (x, y) = (1.49726, -1.85266)
708: (x, y) = (0.987062, -0.992605)
709: (x, y) = (1.66057, -1.73179)
710: (x, y) = (0.67323, -1.89041)
711: (x, y) = (1.67072, -1.81966)
712: (x, y) = (1.20689, -0.933732)
713: (x, y) = (1.44788, -1.90426)
714: (x, y) = (1.64567, -0.924014)
715: (x, y) = (1.89521, 0.0443504)
716: (x, y) = (1.01133, 0.512069)
717: (x, y) = (0.652257, 1.44538)
718: (x, y) = (0.876028, 0.470737)
719: (x, y) = (1.8362, 0.191321)
720: (x, y) = (1.16271, -0.54788)
721: (x, y) = (0.197755, -0.810284)
722: (x, y) = (-0.681934, -1.28583)
723: (x, y) = (-1.24439, -0.459005)
724: (x, y) = (-1.54495, -1.41277)
725: (x, y) = (-1.21079, -2.35528)
726: (x, y) = (-2.15478, -2.02532)
727: (x, y) = (-1.44298, -2.72771)
728: (x, y) = (-1.28002, -1.74107)
729: (x, y) = (-0.646704, -0.967182)
730: (x, y) = (-0.0065362, -1.73542)
731: (x, y) = (-0.221671, -0.758833)
732: (x, y) = (-0.761948, -1.60032)
733: (x, y) = (0.14917, -1.18817)
734: (x, y) = (0.171297, -2.18793)
735: (x, y) = (1.13854, -1.93408)
736: (x, y) = (0.512095, -2.71354)
737: (x, y) = (0.375328, -1.72294)
738: (x, y) = (0.692757, -2.67122)
739: (x, y) = (0.899239, -3.64967)
740: (x, y) = (-0.0584204, -3.93758)
741: (x, y) = (0.44415, -4.80211)
742: (x, y) = (-0.413653, -4.28813)
743: (x, y) = (0.395375, -4.8759)
744: (x, y) = (-0.453196, -4.34682)
745: (x, y) = (0.152332, -3.551)
746: (x, y) = (1.1173, -3.81337)
747: (x, y) = (2.0093, -3.36135)
748: (x, y) = (1.66681, -2.42183)
749: (x, y) = (1.27492, -1.50181)
750: (x, y) = (1.25283, -2.50157)
751: (x, y) = (2.08705, -1.95014)
752: (x, y) = (2.48706, -2.86665)
753: (x, y) = (3.45865, -2.62996)
754: (x, y) = (4.1579, -3.34484)
755: (x, y) = (4.60595, -2.45083)
756: (x, y) = (4.94841, -1.5113)
757: (x, y) = (3.95158, -1.59088)
758: (x, y) = (4.26901, -2.53916)
759: (x, y) = (3.65646, -3.32959)
760: (x, y) = (2.77678, -3.80514)
761: (x, y) = (2.24394, -4.65136)
762: (x, y) = (3.07327, -5.21013)
763: (x, y) = (2.54792, -4.35924)
764: (x, y) = (3.07324, -3.50833)
765: (x, y) = (2.07986, -3.62315)
766: (x, y) = (2.951, -4.11417)
767: (x, y) = (1.97164, -3.91205)
768: (x, y) = (2.96503, -4.02683)
769: (x, y) = (2.81081, -5.01487)
770: (x, y) = (2.85063, -6.01408)
771: (x, y) = (2.17061, -5.28089)
772: (x, y) = (3.15499, -5.45693)
773: (x, y) = (2.25511, -5.0208)
774: (x, y) = (2.5303, -5.98219)
775: (x, y) = (3.5162, -5.81483)
776: (x, y) = (2.71241, -5.21992)
777: (x, y) = (2.27229, -6.11786)
778: (x, y) = (2.11807, -7.1059)
779: (x, y) = (1.18318, -7.46084)
780: (x, y) = (2.14335, -7.74025)
781: (x, y) = (1.37795, -8.38381)
782: (x, y) = (0.579477, -8.98584)
783: (x, y) = (1.56682, -9.14443)
784: (x, y) = (0.645081, -9.53224)
785: (x, y) = (1.59196, -9.85383)
786: (x, y) = (1.15978, -8.95205)
787: (x, y) = (1.38355, -9.92669)
788: (x, y) = (0.764007, -9.14173)
789: (x, y) = (0.856813, -10.1374)
790: (x, y) = (0.361915, -9.26846)
791: (x, y) = (-0.500389, -9.77485)
792: (x, y) = (0.112183, -10.5653)
793: (x, y) = (-0.255108, -11.4954)
794: (x, y) = (0.679793, -11.8503)
795: (x, y) = (1.27114, -11.0439)
796: (x, y) = (0.565587, -10.3352)
797: (x, y) = (0.516923, -9.33639)
798: (x, y) = (1.30464, -9.95243)
799: (x, y) = (0.500844, -9.35752)
800: (x, y) = (-0.496652, -9.2868)
801: (x, y) = (-0.501047, -10.2868)
802: (x, y) = (-0.268688, -9.31416)
803: (x, y) = (-0.902031, -8.54029)
804: (x, y) = (-0.0776993, -7.97418)
805: (x, y) = (0.698987, -8.60407)
806: (x, y) = (0.0189632, -7.87088)
807: (x, y) = (0.979133, -8.15029)
808: (x, y) = (1.2628, -9.10922)
809: (x, y) = (2.20678, -8.77923)
810: (x, y) = (1.20694, -8.76155)
811: (x, y) = (1.95501, -9.42517)
812: (x, y) = (0.958926, -9.3368)
813: (x, y) = (0.165789, -8.72775)
814: (x, y) = (0.613836, -7.83374)
815: (x, y) = (-0.286044, -7.3976)
816: (x, y) = (0.254258, -6.55613)
817: (x, y) = (0.613302, -5.62281)
818: (x, y) = (-0.146385, -4.97253)
819: (x, y) = (-0.578563, -4.07074)
820: (x, y) = (-1.26503, -4.7979)
821: (x, y) = (-0.51695, -5.46151)
822: (x, y) = (-1.51221, -5.55872)
823: (x, y) = (-2.20511, -4.83769)
824: (x, y) = (-1.32967, -4.35437)
825: (x, y) = (-0.414923, -4.75841)
826: (x, y) = (-0.612736, -3.77817)
827: (x, y) = (-1.6071, -3.67218)
828: (x, y) = (-0.787798, -4.24554)
829: (x, y) = (-0.168278, -3.46056)
830: (x, y) = (-0.0754714, -4.45624)
831: (x, y) = (0.648647, -5.14592)
832: (x, y) = (1.06477, -4.23661)
833: (x, y) = (0.185077, -4.71216)
834: (x, y) = (1.0383, -5.23371)
835: (x, y) = (1.16629, -6.22548)
836: (x, y) = (1.81321, -5.46292)
